Soort	Botanisch	Onderstam	Toepassingen	Voedselproductie - veel toegepaste soorten	Voedselproductie - bijzondere soorten	Systeem-ondersteunende soorten	Houtproductie	voederhaag	zand	zavel / leem	lichte klei	zware klei	veen	hoog, stabiel	hoog, fluctuerend	middelmatig, stabiel	middelmatig, fluctuerend	laag	EcoVW kleinFltr	BodemVW kleinFltr	WaterVW KleinFltr	Waarde Bodem	Waarde Water	AND/OR BW	AND/OR BWH
Gewone esdoorn	Acer pseudoplatanus 		-			Systeem-ondersteunende soorten			zand	zavel / leem	lichte klei	zware klei	veen	NEE	2	middelmatig, stabiel	middelmatig, fluctuerend	laag	Systeem-ondersteunende soorten	veen	laag	FAUX	FAUX	FAUX	FAUX
Zwarte els	Alnus glutinosa		laagwaardig hout			Systeem-ondersteunende soorten	Houtproductie	voederhaag	zand	zavel / leem	lichte klei	zware klei	veen	hoog, stabiel	hoog, fluctuerend	middelmatig, stabiel	middelmatig, fluctuerend	1	Systeem-ondersteunende soorten	veen	1	FAUX	1	VRAI	VRAI
Krentenboompje	Amelanchier alnifolia	A. alnifolia	kleinfruit		Voedselproductie - bijzondere soorten	Systeem-ondersteunende soorten			3	zavel / leem	lichte klei	4	NEE	hoog, stabiel	hoog, fluctuerend	middelmatig, stabiel	1	1	Systeem-ondersteunende soorten	NEE	1	FAUX	1	FAUX	FAUX
Appelbes	Aronia spp		kleinfruit		Voedselproductie - bijzondere soorten	Systeem-ondersteunende soorten			zand	zavel / leem	lichte klei	4	5	hoog, stabiel	hoog, fluctuerend	middelmatig, stabiel	middelmatig, fluctuerend	laag	Systeem-ondersteunende soorten	5	laag	5	FAUX	VRAI	VRAI
Pawpaw	Asimina triloba	A. triloba	fruit		Voedselproductie - bijzondere soorten				3	zavel / leem	lichte klei	4	NEE	2	2	middelmatig, stabiel	middelmatig, fluctuerend	1	0	NEE	1	FAUX	1	FAUX	FAUX
Ruwe berk	Betula pendula		laagwaardig hout			Systeem-ondersteunende soorten	Houtproductie	voederhaag	zand	zavel / leem	lichte klei	4	veen	hoog, stabiel	hoog, fluctuerend	middelmatig, stabiel	middelmatig, fluctuerend	laag	Systeem-ondersteunende soorten	veen	laag	FAUX	FAUX	FAUX	FAUX
Zachte berk	Betula pubescens		laagwaardig hout			Systeem-ondersteunende soorten	Houtproductie	voederhaag	zand	zavel / leem	lichte klei	4	veen	hoog, stabiel	hoog, fluctuerend	middelmatig, stabiel	middelmatig, fluctuerend	1	Systeem-ondersteunende soorten	veen	1	FAUX	1	VRAI	VRAI
Gewone haagbeuk	Carpinus betulus		laagwaardig hout			Systeem-ondersteunende soorten	Houtproductie	voederhaag	zand	zavel / leem	lichte klei	zware klei	7	2	hoog, fluctuerend	middelmatig, stabiel	middelmatig, fluctuerend	laag	Systeem-ondersteunende soorten	7	laag	7	FAUX	VRAI	VRAI
Tamme kastanje (hybride)	Castanea sativa (x crenata)		noten	Voedselproductie - veel toegepaste soorten					zand	zavel / leem	4	4	7	NEE	NEE	2	2	laag	0	7	laag	7	FAUX	VRAI	FAUX
Tamme kastanje (hybride)	Castanea sativa (x crenata)		hoogwaardig hout			Systeem-ondersteunende soorten	Houtproductie	voederhaag	zand	zavel / leem	lichte klei	4	7	NEE	NEE	2	2	laag	Systeem-ondersteunende soorten	7	laag	7	FAUX	VRAI	VRAI
Tamme kastanje (hybride)	Castanea sativa (x crenata)	molissima / sativa (x crenata)	noten	Voedselproductie - veel toegepaste soorten					zand	zavel / leem	4	NEE	7	NEE	NEE	2	2	laag	0	7	laag	7	FAUX	VRAI	FAUX
