latin	finnish	yield	use	soil	size	cultivation	zone	description
Acer platanoides	metsävaahtera	puu, moni (mah)	L+P+VS	tuo-kos, ravint.	10-20m	au-var	I-V	Tammen ja jalavien ohella arvokkaimpia jalopuitamme. Puuaines on arvostettua. Arvokas pölyttäjille. Nopeakasvuinen. Kestävä avoimillakin kasvupaikoilla. Kestää kuivuutta. Viihtyy savimaillakin. Kehittyy paremmin runkojohteiseksi kasvaessaan puolivarjossa. Metsävaahteran mahlan sokeripitoisuus on alhaisempi kuin alla mainituilla amerikkalaisille lajeilla, ja mahlaa voi pitää lähinnä sivutuotteena. Kaikilla vaahteroilla on aggressiivinen juuristo ja tiheä, varjostava latvus. Leviää vahvasti siemenistä. Hakeutuu salaojaan. Varoväli salaojaan tulee olla 10 m.
Acer rubrum	punavaahtera	puu, mah	L+P+VS	tuo-kos, ravint.	10-20(25)m	au-pv	I-III	Nopeakasvuinen, sirokasvuinen puu. Punavaahtera sietää kosteita kasvupaikkoja metsävaahteraa paremmin. Ei muodosta juurivesoja. Keväällä juoksutettava mahla soveltuu juotavaksi sellaisenaan tai siirapin keittoon. Suomen olosuhteissa punavaahtera vaikuttaa aitoa sokerivaahteraa (A. saccharum) varmemmalta viljeltävältä, mutta mahlan juoksutusaika on lyhyempi. Varoväli salaojaan 10 m.
Acer saccharinum	hopeavaahtera	puu, mah	L+P+VS	tuo-kos, ravint.	10-20(25)m	au-pv	I-III	Nopeakasvuinen ja kantovesoja muodostava laji. Avoimilla paikoilla alhaalta asti haarova. Pinnallinen juuristo. Pärjää kosteillakin mailla. On käytetty USA:n keskilännessä ja Kanadan Manitobassa myös tuulensuoja-istutuksiin, mutta toisaalta lajia pidetään alttiina repeytymään myrskyissä. Saattaa soveltua Suomen oloissa mahlapuuksi paremmin kuin arempi sokerivaahtera (A. saccharum). Mahlakäyttöön tulisi koeviljellä mm. St. Lawrence Nurseryn pohjoista "Sweet Sap" lajiketta, jolla on n. 3-5 % sokeripitoisuus ja joka tulee keruuikään jo 10 v. iässä. Hakeutuu salaojaan. Varoväli salaojiin 10 m. Hopeavaahteraa on viljelty Suomessa 1700-luvulta lähtien harvinaisena puistopuuna.
Alnus glutinosa	tervaleppä	bio, puu, N+, leh, rohdos	L+P+VS+T	tuo-mär	8-25m	au-pv	I-VI	Nopeakasvuisia, sitovat typpeä ja parantavat maata lehtikarikkeellaan. Viihtyvät kosteillä kasvupaikoilla. Erinomaisia vesistöjen suojavyöhykkkeille ja tuulensuojaistutuksiin sekä hoivapuina nuorille jalopuiden taimille. Harmaaleppä muodostaa juurivesoja, tervaleppä tyvi- ja kantovesoja. Molemmat ovat hyvin nopeakasvuisia. Harmaaleppä on lyhytikäisempi ja pienempi puu. Molemmat lajit sietävät alasleikkausta (vesametsätalous), mutta harmaaleppä reagoi tähän vesomalla voimakkaasti. Tervalepän (pehmeä) punertava puuaines on arvostettua puusepänpuuna. Lepän käpyjä käytetään myös rohdoksena. Hakeutuu salaojiin, etäisyys vähintään 10 m.
Alnus incana	harmaaleppä	bio, N+, leh, rohdos	L+P+VS+T	tuo–mär	8–15(20)m	au–pv	I–VIII	Nopeakasvuisia, sitovat typpeä ja parantavat maata lehtikarikkeellaan. Viihtyvät kosteillä kasvupaikoilla. Erinomaisia vesistöjen suojavyöhykkkeille ja tuulensuojaistutuksiin sekä hoivapuina nuorille jalopuiden taimille. Harmaaleppä muodostaa juurivesoja, tervaleppä tyvi- ja kantovesoja. Molemmat ovat hyvin nopeakasvuisia. Harmaaleppä on lyhytikäisempi ja pienempi puu. Molemmat lajit sietävät alasleikkausta (vesametsätalous), mutta harmaaleppä reagoi tähän vesomalla voimakkaasti. Tervalepän (pehmeä) punertava puuaines on arvostettua puusepänpuuna. Lepän käpyjä käytetään myös rohdoksena. Hakeutuu salaojiin, etäisyys vähintään 10 m.
Amelanchier alnifolia	marjatuomipihlaja	hed, moni	P+T+VS	kui-tuo, keskirav.	2-4m	au-pv	I-IV	Pysty- ja monirunkoinen pensas jota viljellään marjakasvina. Soveltuu hyvin vapaasti kasvaviin aidanteisiin. Marjasato on helppo korjata. Ei ole levinnyt luontoon yhtä aggressiivisesti kuin isotuomipihlaja (A. spicata). Varoväli salaojaan 3m.
Amelanchier laevis	sirotuomipihlaja	puu, hed, moni	L+P+T+VS	kui-tuo, ravint.	3-6(15)m	au-pv	I-IV	Puumainen pensas tai pieni puu. Ei muodosta vesoja. Runsas kukinta toukokuussa ja syötävät marjat elokuussa. Ei ole levinnyt luontoon kuten isotuomipihlaja. Raskas puuaines on koristeellista, tiheäsyistä ja kovaa. Helppo viljellä, erinomainen marja- ja koristekasvi.
Aronia mitschurinii	marja-aronia	hed, moni	P+T+(VS)	kui–tuo, keskirav.	1-2.5(3)m	au	I-IV(V)	Monikäyttöinen, vesova pensas. Sopii yksittäispensaaksi tai aidanteeksi. Mustat marjat kypsyvät syyskuussa, satokausi kestää noin kuukauden. Erittäin runsassatoinen, täysikasvuinen pensas antaa 7-8 kg satoa. Marjat kitkeriä, sopivat jatkojalostukseen mehuksi, hilloksi, viiniksi, kuivattavaksi. Myös lintujen mieleen. Helppo viljellä,vaatimaton maaperän suhteen. Viihtyy parhaiten tuoreilla ja multavilla mailla. Istutusväli 1m. Soveltuu koneelliseen korjuuseen esim. herukanpoimintakoneella. Ei hakeudu salaojiin. Suositeltavia lajikkeita mm. 'Viking'. Marja-aronialle on ehdotettu myös uutta nimeä Sorbaronia mitschurinii, pihlonia
Betula pendula var. carelica	visakoivu	puu	L+T+VS	kui–tuo, keskirav.	1-15m	au	I–VI	Koivut eivät yleisesti sovellu hyvin peltometsäviljelyyn aggressiivisten juuristojensa johdosta. Poikkeuksena on visakoivu, joka on yleensä mutkarunkoinen pieni puu. Menestyy parhaiten avoimilla paikoilla. Tuottaa arvokasta puuainesta. Helppo viljeltävä
Carpinus betulus	euroopanvalkopyökki	puu	L	tuo, ravint, Ca+	6-15m	pv, suojaisa	I-II(III)	Menestyy lähinnä etelärannikolla. Sopiva alkuperä/lisäyslähde tärkeää. Avoimilla paikoilla mahdollisesti talvenarka. Turun seudulla viihtynyt hyvin avoimellakin paikalla savimaassa. Puuaines kovaa ja arvostettua. Kapeakasvuinen, tiivis latvus varjostaa tehokkaasti. Viihtyy parhaiten syvämultaisilla kasvupaikoilla. Talvenkestävämpi ja helpompi viljeltävä kuin pyökit (Fagus). Mustilan lisäyslähde sekä Ruotsin E-kannat ovat suositeltavia Etelä-Suomeen. Mustilan kanta kehittyy puuksi myös Etelä-Suomen sisämaassa. Ei hakeudu salaojiin, varoväli salaojaan 5m
